General,English Translation,পদ (Google API),Updated Human,পদ (Human),Barishal_bangla_speech,Sylhet_bangla_speech,Chittagong_bangla_speech,Mymensingh_bangla_speech,Noakhali_bangla_speech
অংশ,part,সর্বনাম,বিশেষ্য,বিশেষ্য,অংশ,অংশ,অংশ,অংশ,অংশ
অক্টোবর,October,বিশেষ্য,বিশেষ্য,বিশেষ্য,অক্টোবর,অক্টোবর  ,অক্টোবর,অক্টোবর,অক্টোবর
অঘটন,incident,বিশেষ্য,বিশেষ্য,বিশেষ্য,অঘটন,অঘটন,দূরঘটনা,অঘটন,অঘটন
অচেনা,stranger,বিশেষ্য,বিশেষণ,বিশেষণ,অচেনা,অচেনা,অচেনা,অচেনা,যেতাগোরে চিনিনা
অঞ্চল,Region,বিশেষ্য,বিশেষ্য,বিশেষ্য,অঞ্চল,অঞ্চল,আঞ্চল,অঞ্চল,অন্চল
অঞ্চলের,of the region,অব্যয়,বিশেষ্য,বিশেষ্য,এলাকার,জেগার,অঞ্চলঅর,অঞ্চলের,অঞ্চলের
অত,so much,বিশেষণ,অব্যয়,অব্যয়,অত,অতো,অত,অত,অত
অতীতে,in the past,অব্যয়,অব্যয়,অব্যয়,আগেরকালে,অতীত জীবনো,অতিত অত,অতীতে,অতীতে
অত্যন্ত,extremely,বিশেষণ,অব্যয়,অব্যয়,ভারি রকম  ,খুব,বহুত,মেলা,অত্যন্ত
অত্যাচার,torture,বিশেষ্য,বিশেষ্য,বিশেষ্য,অত্যাচার,অত্যাচার,আত্যসার,অত্যাচার,অত্যাচার
অথচ,Although,অব্যয়,অব্যয়,অব্যয়,তয়,অথচ,অতচ,অথচ,অথচ
অথবা,or,অব্যয়,অব্যয়,অব্যয়,নইলে,নায়,বা,অথবা,নইলে
অদ্ভুত,strange,বিশেষ্য,বিশেষণ,বিশেষণ,অদ্ভুত,অদ্ভুত,অদবুত,অদ্ভুত,অদ্ভুত
অধিক,more,বিশেষণ,বিশেষণ,বিশেষণ,বেশি,বেশি  ,বেশিরভাগ,অনেক,অধিক
অধিকাংশ,most of,বিশেষণ,বিশেষণ,বিশেষণ,বেশিরভাগ  ,বেশির ভাগ,বেশিরভাগ,বেশির ভাগ,বেশির ভাগ
অধিনায়ক,captain,বিশেষ্য,বিশেষ্য,বিশেষ্য,দলপতি  ,অধিনায়ক,অধিনায়ক,অধিনায়ক,অধিনায়ক
অধিবেশন,the session,সর্বনাম,বিশেষ্য,বিশেষ্য,সেশনের  ,অধিবেশন,অধিবেশনত,অধিবেশন,অধিবেশন
অনিয়মিত,erratic,বিশেষণ,বিশেষণ,বিশেষণ,নিয়ম ছাড়ায়  ,অনিয়মিত,বেমতো,অনিয়মিত,অনিয়মিত
অনুপযুক্ত,Inappropriate,বিশেষ্য,বিশেষণ,বিশেষণ,ঠিক না ,ডিগা,ঠিক ন,ঠিক না ,অনুপযুক্ত
অনুপ্রেরণা,inspiration,বিশেষ্য,বিশেষ্য,বিশেষ্য,অনুপ্রেরণা,অনুপ্রেরণা,অনুফ্রেরনা,অনুপ্রেরণা,অনুহেরোনা
অনুভব,feeling,ক্রিয়া,বিশেষ্য,বিশেষ্য,অনুভব,অনুভব,অনুবব,অনুভব,অনুভব
অনুভুতির,Feeling,বিশেষণ,বিশেষ্য,বিশেষ্য,অনুভূতির,অনুভুতির,অনুবুতি,অনুভুতির,অনুভূতির
অনুভুতী,feeling,বিশেষণ,বিশেষ্য,বিশেষ্য,অনুভূতি,অনুভূতি,অনূবুতি,অনুভুতী,অনুভুতি
অনুমতি,permission,বিশেষ্য,বিশেষ্য,বিশেষ্য,অনুমতি,অনুমতি,অনুমতি,অনুমতি,অনুমুতি
