Sylhet_bangla_speech,Noakhali_bangla_speech,Mymensingh_bangla_speech,Chittagong_bangla_speech,Barishal_bangla_speech
ভালা আছনি?,কেইক্কান আছেন ?,কেমত আছো?,কেন আচো?,আসো কোরোহম?
আইজকু আমার মন ভালা নায়,আইজ্জা আর মন ভালা নাই,আইজ আমার মন ভালা নাই,আযিয়া আর মন বালা নাই?,আইজ মোর মনডা ভালোনা
তুমি কিতা খরো?,তুমি কিআ করর ?,তুমি কিতা করো?,তুঁই কি গরো?,ও মোনু হর কি?
অউ গরমো আমার কুনতা ভালা লাগের না,এতো গরমে আর কিচ্ছু ভালা লাগে না,এই গরমডাত আমার কিছু ভালা লাগে না,এই গরমত আত্তুন কিচু বালা ন লাগের,এই থাডা পরা গরমে মোর কিস্সু ভাল্লাগেনা
ফুয়াটায় এখটা সাদা রংগর শার্ট পিন্দিয়া আইছিল,পোলাডা একটা সাদা রং এর শার্ট পড়ি আইসিলো,ছেড়াটা সাদা রংগের একটা শার্ট পইড়া আইছিল,ফোয়াইবা সাদা রংওর উজ্ঞা শার্ট ফরি আইস্যিল,পলাউগ্গা এউক্কা ধলা রং এর এউক্কা গুন্জি পইর্রা আইসেল
ফুড়িটায় লাল রংগর শাড়ি পিন্দিয়া মোর লগে দেখা করাত আইছিল,মাইয়াডা লাল রং এর শাড়ি পরি আমার লগে দেখা করতে আইসিলো,ছেড়িটা লাল রংগের শাড়ি পইরা আমার সাথে দেখা করতে আইসিল,মাইফোয়াইবা লাল রংওর শারি ফরি আঁর লই দেহা গইর্ তো আইস্যে,মাইআউগ্গা লাল  রুঙ্গা  শাড়ি পইর্রা মর লগে দেহা হর্তে আইসিলো
ফুয়াটায় সিলেট থাকি ঢাকাত আইছে,পোলাডা সিলেট থেইকা ঢাকায় আইসে,ছেড়াটা সিলেটতন ঢাকাত আইসে,ফোয়াইবা সিলেটত্তুন ঢাহা আইস্যে,পলাউগ্গা শ্যলেত দিয়া ধাহা আইসেলে
ফুড়িটায় সিলেট থাকি আওয়া অউ ফুয়াটারে অনেক ভালা পায়,মাইয়াডা সিলেট থেইকা আশা পোলাডারে অনেক ভালোবাসে,ছেড়িটা সিলেট থাইকা আসা অই ছেড়াটারে অনেক ভালবাসে,মাইফোয়া ইবা সিলেটত্তুন আইস্যেদে ফোয়া ইবারে বঊত বালবাসে,মাইআউগ্গা শ্যলেত দিআ আঔআ পলাউগ্গারে আক্সের ভালপায়
ফুয়াটায় এবো ধরি ফুড়িটারে ভালা পাওয়ার চউকে দেখছে না,পোলাডা মাইয়াডারে এখনো ভালোবাসার চোখে দেখেনো,ছেড়াটা ছেড়িটারে এখনো ভালবাসার চোখে দেখে নাই,ফোয়াইবা মাইফোয়া ইবারে আইযো বালবাসার চোকে ন দেহে,পলাউগ্গা মাইআউগ্গারে আহন ভালপাঔআর ছহে দেহেনাই
ফুড়িটাায় তাইর হখল সফনর মাজে ফুয়াটারে কল্পনা করে,মাইয়াদা  হিগার  স্বপ্নের ভিতরে খালি পোলাগারে লই চিন্তা করতে থাকে,ছেড়িটা তার সপ্নের মধ্যে ছেড়াটারে কল্পনা করে,মাইফোয়া ইবা তার বেজ্ঞিন সফ্নর মইদ্দে ফোয়াইবারে কল্ফনা গরে,মাইআউগ্গা হেয়ার শব হপ্পনের মইদ্ধে পলাউগ্গারে ভাব্তে থাহে
আমার বাক্কা আগে এখবার বিয়া অইছিল,আর অনেকদিন আগে একবার বিয়া অইছিলো,আমার অনেকদিন আগে একবার বিয়া হইছিল,আঁর বউতদিন আগে এব্বার বিয়া অইল,মর বহুত দিন আগের্গ এউক্কা বিয়া হইসেলে
আমার আম্মায় আমারে কইছলা বিয়া অইলে জীবন বদলি যায়,আর মা অরে কৈসিলো বিয়া হইলে জীবন পরিবর্তন হয়ে  যায়,আমার মা আমারে কইসিল বিয়া হইলে জীবন বদলায়া যায়,আঁর মা আঁরে হইল বিয়া অইলে জিবন ফাল্টি যা গই,মর মাএ মরে কইসেলে বিআ হর্লে জিবন পরিবর্তন হইআ জায়
আম্মায় হেদিন ঠিক কথাউ কইছলা,মা যেদিন ঠিক কথা যে কৈসিলো,আম্মা অইদিন ঠিক কথাই কইসিল,আম্মু অইদিন টিক হতাই হইল,মাএ অইদিন হাস্সইঅ কথাই কইসেলে
আম্মায় হখল সময় অউ আমার মনর কথা বুজইন,আম্মা   বেক সময় আর মনের কথা বুঝে,আম্মা সব সময় আমার মনের কথা বুঝে,আম্মু এগাযা আঁর মনোর হতা বুজে,মাএ শব্কালে মর কইল্যার কথাউগ্গা বঝে
আমার বাসার কামর ফুড়িটায় এখন ভালা মত কাম করে না,আনগো বাসার কামের মাইয়া ইগা ওন আর ভালা  কাম করে না,আমার ঘরের কামের ছেড়িটা এখন ভাল মত কাম করে নাহ,আঁর বাসার হাজর মাইফোয়া ইবা ইয়া গম গরি হাজ গরিত ন ফারে,ঘরের কামের সেম্রি আহন থিক্কইর্রা কাম হরে না
আমার বাসাার কামর ফুড়িটায় দুইদিন ধরি ভাগন্তিত,আনগো বাসার কামের মাইয়া ইগা দুইদিন ধরি পলাইরৈসে,আমার ঘরের কামের ছেড়িটা দুইদিন ধইরা পালাইছে,আঁর বাসার হাজর মাইফোয়া ইবা দুইদিন অর দাই গিয়্যুয়,মর ঘরের কামের সেম্রি দুই দিন ধইর্রা পলাইন্না
আমার বাসার দারোয়ান এখন তার গ্রামো পাখানিত গেছে,আনগো বাড়ির দারোয়ান হেতের গ্রামের বাড়ি গেচে গুরবার লাই,আমার বাড়ির দারওয়ান এহন অর গ্রামে ঘুরতে গেছে,আঁর বাসার দারোয়ান এহন ইতার গেরামত বেরাইত গেয়্যে,মর ঘরের দারআন আহন অই সেম্রির গেরামে ঘর্তে গেসে
আমি তুমারে কল দিতাম নায়,আন্নেরে আই কল দিমু না,তোমারে আমি কল দিতাম না,তোঁয়ারে আঁই কল ন দিয়ুম,তমারে মুই কল্ দিমুনা
অউ জিনিসটা খুবঅই  বিরক্তিকর আছিল,ইয়ান বেশি অসইজ্যো আসিল,এই জিনিসটা অনেক বিরক্তিকর আছিল,এই জিনিসসান কুব বিরক্তিকর আচিল,এই জিনিশ খান আক্কালে অনেক গা জলুইন্না আসেল
হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,হেয় শীলোট তুন আর লগে দেয়া কইত্তে আইছিল,সে সিলেট থাইকা আমার সাথে দেখা করতে আইসিল,ইতে সিলেটত্তুন আঁর ফোয়ারে দেহা গইরতো আইস্যে,হে শ্যলেত দিআ মর লগে দেহা কর্তে আইসেলে
হে এখন রাজশাহীত গেছে গিয়া,হেয় অন রাসসায়ী চলি গেছে,সে এহন রাজশাহী চইলা গেসে,ইতে এহন রাজশাহী গেইয়্যুই,হে আহন রাজ্শাহি গেসিগ্গা
হে এখন তার বন্ধুবান্ধবর লগে সিগারেট খায়,হেতে অন হেতের দোস্তের লগে বিড়ি টানে,সে এহন তার বন্ধুরার সাথে সিগারেট খায়,ইতে এহন তার বন্দুওক্কলর ফোয়ারে সিগেট হায়,উনি আহন হেয়ার দস্গ গ লগে বিরি খায়
হে এখেবারেউ হাসে না,হেতে এক্কারেই আশেনা,সে এক্কেরেই হাসেনা,এতে এব্বেরেও ন আসে,হে আক্কালেই ভেত্কায় না
হে আমারে অপমান করে,হিগা আরে বেইজ্জুদি করে,সে আমারে অপমান করে,এতে আঁরে অফমান গইরগে,হে মরে আক্সের অপমান হিরে
তার বই পড়তে একদম অউ ভালা লাগে না,হিগার বই হইটটে এককারে বালা লাগে না,তার বই পড়তে এক্কেরেই ভালালাগেনা,ইতাত্তুন বই ফইরতো এফফোডাও গম ন লাগে,হ্যার বই পড়তে এক্কালেই ভালো লাগে না
আফনার কিতা বই পড়ার অভ্যাস আছে নি?,আন্নের কি বই হড়ার ঐববাস আছে?,আফনের কি বই পড়ার অভ্যাস আসে?,অনর কি বই ফরার অব্বাস আচে নে,আমনের কি বই পড়ার অভ্যাস আছে?
তুমি আমারে চিনো নি?,তুই য়ারে চিনো?,তুমি কি আমারে চিনো?,তুঁই কি আঁরে চিনো নে,তুমি কি মোরে চেনো?
মুই তুুমারে চিনতাম পারিয়ার না,আই তোরে আগে কোনোসুমে দেই ন,আমি তোমারে চিনতে পারলাম না,আঁই তোয়াঁরে চিনিত ন ফাইরলাম,মুই তোমারে চেনতে পারলাম না
মুই তুমারে এর আগে কুনোদিন দেখছি না,আই  তোরে চিনতে হাইরলাম না,আমি তোমারে আগে কখনো দেখি নাই,আঁই তোয়াঁরে আগে হনো অত্তে ন দেহি,মুই তোমারে আগে কহনো দেহি নাই
পড়ালেখা করতে আমার এখদম ভালা লাগে না,আর হরালেয়া কইত্তে একছের ভালা লাগে না,আমার পড়ালেহা করতে এক্কেরেই ভালালাগেনা,আঁত্তুন ফরালেহা গইরতো এফফোডাও গম ন লাগে,মোর পড়াল্যাহা করতে এক্কালেই ভালো লাগে না
